127.0.0.1 - - [18/Nov/2018:14:31:43 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:55:46 +0300] "GET /lab4JDBC/ HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:55:57 +0300] "GET /lab4JDBC/edit.html HTTP/1.1" 200 1010
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:29 +0300] "POST /lab4JDBC/save.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:30 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:42 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:43 +0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:49 +0300] "GET /lab4JDBC/edit.html?id=9 HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:54 +0300] "POST /lab4JDBC/save.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:56:54 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:01 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:06 +0300] "GET /lab4JDBC/edit.html?id=9 HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:12 +0300] "POST /lab4JDBC/save.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:12 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:17 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4546
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:23 +0300] "POST /lab4JDBC/delete.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:23 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:25 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [18/Nov/2018:14:57:29 +0300] "GET /lab4JDBC/index.html HTTP/1.1" 200 4031
